mean_L,std_L,mean_A,std_A,mean_B,std_B,label
173.29713333333333,44.99666235281605,134.95786666666666,15.318944781761786,141.26755555555556,28.840065353258947,0
186.21437777777777,36.55463852541768,124.99413333333334,16.58926724736341,138.71197777777778,28.068976921536137,0
167.86157777777777,56.219789471122034,138.57254444444445,11.597940601351135,124.17871111111111,19.1091251065758,0
135.01446666666666,49.36382629285448,132.59694444444443,7.4523062498368935,146.12125555555556,19.50135486407781,0
164.0571111111111,49.343129483342224,128.88374444444443,9.944734295161336,128.92131111111112,12.12895741845792,0
152.39405555555555,68.66863458504685,132.00047777777777,11.162383745546446,130.87805555555556,15.524896370998645,0
137.3812888888889,50.55761945987842,118.21657777777777,10.705609363504283,127.11918888888889,16.96696216533403,0
176.4649,33.406373829472194,121.69076666666666,5.8093399195701325,106.73006666666667,11.339628761119123,0
124.20693333333334,82.29694324508318,128.31616666666667,7.703764215195928,129.99843333333334,12.330915429250714,0
127.8018,47.843785444390676,129.88053333333335,5.946331730477951,131.70076666666668,10.510175147657838,0
114.443,88.91822632746462,133.0483888888889,10.509172853797185,127.62285555555556,18.01445271198848,1
172.11412222222222,64.16269484249963,128.3390777777778,11.813877603835035,135.58007777777777,19.147355744173936,1
105.49144444444444,63.70207073315088,125.85437777777778,17.574803768512705,139.1013111111111,17.46447067788673,1
123.87696666666666,53.42840054709771,131.31063333333333,12.693267079615257,143.78787777777777,18.54916271684986,1
99.06725555555556,57.40547766179753,138.68714444444444,15.366544441351305,137.1087,14.442941216271244,1
104.3931,66.84682287099034,130.3255,7.69414747100389,131.78941111111112,10.2330834436313,1
88.47983333333333,61.554061098760975,133.34127777777778,13.618055275199724,135.18175555555555,16.269374379360826,1
107.6536111111111,65.18049574718472,136.6601,20.229781434283684,139.53574444444445,17.848360338673572,1
173.3955222222222,70.87810864007272,127.74763333333334,5.352443882003809,127.8043,11.377517858527453,1
147.95086666666666,55.001833376756124,127.13094444444444,1.636166996781815,136.02427777777777,7.040241436086909,2
109.49277777777777,64.38162085094675,129.91618888888888,6.073416403373428,130.76395555555555,10.281695424297721,2
179.90532222222222,37.28055111816281,130.6292777777778,1.2717523040433252,125.32687777777778,5.917505651929475,2
163.11763333333334,53.999790700818664,135.33375555555557,3.017222141533172,149.08586666666667,11.501968151581712,2
168.66271111111112,63.65409904392898,132.69268888888888,11.015711198752488,130.2801888888889,13.308680323920962,2
195.41792222222222,59.908783226525635,129.4769,1.3025955929945752,123.30978888888889,2.6716365687406096,2
146.8283,56.675322252664195,130.78246666666666,7.682267556161036,123.00438888888888,10.488427096561074,2
205.70193333333333,62.153895744854346,128.40773333333334,1.9859333590699026,126.71793333333333,5.220093076649964,2
148.82042222222222,53.732555790895795,130.59186666666668,16.784087850103738,131.31982222222223,18.118520370406618,2
152.47446666666667,78.87158094892115,128.7127111111111,9.774124489629003,130.49792222222223,11.681239285212639,2
