contrast,dissimilarity,homogeneity,energy,correlation,ASM,label
452.5928955958899,12.35102706718484,0.1585960057373104,0.013581313461711377,0.8979336030064037,0.00018620745478947572,0
238.32617457672504,8.918101605873442,0.20453545934928938,0.016515827739398418,0.9644907992782906,0.0002743845325611186,0
141.48374386193132,7.569708317953593,0.1923440481876512,0.016336865924137262,0.9728386892631984,0.0002698221781017582,0
624.1679355935993,14.613848148604582,0.1445880687397541,0.017420426200425877,0.8741665952425811,0.0003047463979748901,0
727.0470460714569,16.26825508103985,0.11216015672515262,0.01021468859304231,0.922180271638949,0.00010472376658995298,0
220.5609542026118,8.102821836445392,0.21569852424819647,0.017106165530862943,0.959239278097623,0.00029992790528257933,0
502.6547609273832,14.781907920493797,0.109778167645036,0.013365053317424446,0.8673664337008101,0.00017966011445238734,0
397.3949965231741,8.717151886817572,0.32096995049117394,0.027592928390221934,0.9695672467477607,0.0007878838375475418,0
208.7926811594216,6.838402590575203,0.4072390513296458,0.06137060546136224,0.9410651647648575,0.0037989732928481817,0
660.2261821922946,9.48332774987702,0.4761705470294071,0.04243981885306915,0.8639260815977194,0.0018147662139678692,0
