mean_L,std_L,mean_A,std_A,mean_B,std_B,label
173.29713333333333,44.99666235281605,134.95786666666666,15.318944781761786,141.26755555555556,28.840065353258947,0
167.86157777777777,56.219789471122034,138.57254444444445,11.597940601351135,124.17871111111111,19.1091251065758,0
135.01446666666666,49.36382629285448,132.59694444444443,7.4523062498368935,146.12125555555556,19.50135486407781,0
164.0571111111111,49.343129483342224,128.88374444444443,9.944734295161336,128.92131111111112,12.12895741845792,0
152.39405555555555,68.66863458504685,132.00047777777777,11.162383745546446,130.87805555555556,15.524896370998645,0
137.3812888888889,50.55761945987842,118.21657777777777,10.705609363504283,127.11918888888889,16.96696216533403,0
176.4649,33.406373829472194,121.69076666666666,5.8093399195701325,106.73006666666667,11.339628761119123,0
124.20693333333334,82.29694324508318,128.31616666666667,7.703764215195928,129.99843333333334,12.330915429250714,0
186.21437777777777,36.55463852541768,124.99413333333334,16.58926724736341,138.71197777777778,28.068976921536137,0
127.8018,47.843785444390676,129.88053333333335,5.946331730477951,131.70076666666668,10.510175147657838,0
