r_mean,g_mean,b_mean,area,perimeter,circularity,haralick1,haralick2,haralick3,haralick4,haralick5,label
231.43,231.75,239.74,73.5,53.899494767189026,0.3179272946524579,0.9992120260353414,5.175709240385085,0.8599490909448699,18.755425461802222,0.9997161228890247,kertas
143.6583877877498,139.8554385339722,126.18299782698796,257122.0,2147.6467485427856,0.7005246211494038,0.0013427735279899805,92.79308518757827,0.9859267497109496,3296.7153328790682,0.4201047366363929,kertas
233.66666666666666,241.66666666666666,243.66666666666666,6.0,10.828427076339722,0.6430287075658971,0.9998928781713174,1.541913507800263,0.6660023012512566,2.3077491574982774,0.9999674765557557,kertas
217.57271095152603,224.59425493716338,232.3411131059246,482.5,154.87005722522736,0.25279720273086637,0.9957749906523746,11.736687140866326,0.9412319442779806,100.4319128215051,0.9984455097304281,kertas
108.18980548430437,103.2959760901429,99.78625793941615,260935.5,2105.355338215828,0.7397623441272013,0.0001916586042497732,310.15934307559417,0.9603395404468746,3910.3603898009424,0.181087608479919,kertas
175.96841049194336,172.01226425170898,178.25200271606445,261121.0,2044.0,0.7853981633974483,0.0020762820553286753,27.54782040551843,0.9905930828092974,1464.3252761669773,0.529218382778668,kertas
181.90391159057617,151.40010452270508,119.2845687866211,261121.0,2044.0,0.7853981633974483,0.0003888936040460438,172.71112618654587,0.9706441192982036,2941.6747289599807,0.23944980921949513,kertas
239.20000000000002,238.60000000000002,247.20000000000002,1.5,5.414213538169861,0.6430287075658971,0.9999387829413618,1.3073471154476755,0.39986064192100723,1.0890260860235865,0.9999746505279877,kertas
239.33333333333331,238.66666666666666,245.66666666666666,0.0,4.828427076339722,0.0,0.9999579156344587,1.0899613095437557,0.16642302497365788,0.6537856383913181,0.9999799143485989,kertas
240.0,239.0,247.0,0.0,0.0,0.0,0.999984696478579,0.4370787318786118,-3.825916949170517e-06,0.21853852982824168,0.9999923483293324,kertas
238.66666666666666,237.0,246.33333333333331,0.5,3.414213538169861,0.5390120920947209,0.9999598266572363,0.9698698823713432,0.24998991125809977,0.6465012039997275,0.9999818253997622,kertas
240.0,239.0,247.0,0.0,0.0,0.0,0.999984696478579,0.4370787318786118,-3.825916949170517e-06,0.21853852982824168,0.9999923483293324,kertas
170.44110762640557,159.6264705882353,159.5610533159948,260363.5,2220.4091609716415,0.6636268424332245,0.0009977963183567193,710.1793145923314,0.9187867220358528,4372.462818341776,0.26173154944313287,kertas
240.0,239.0,243.5,0.0,2.0,0.0,0.999971304170195,0.7649945937719007,0.12499330368473739,0.4370753874343548,0.9999866077064218,kertas
222.4757281553398,223.4757281553398,228.34951456310677,83.5,43.2132031917572,0.5619056772991905,0.999158484570921,5.044692102078036,0.8667220493570332,18.93006452978424,0.9996665873176667,kertas
239.0,238.75,243.0,1.0,4.0,0.7853981633974483,0.9999502602383882,1.0906489023527406,0.3749844027872399,0.8723268103545426,0.9999779024774194,kertas
237.0,238.0,243.5,0.0,2.0,0.0,0.999971304170195,0.758606357900169,0.12499330368473739,0.43342550455754614,0.9999866077083961,kertas
240.0,239.0,245.0,0.0,0.0,0.0,0.999984696478579,0.4370787318786118,-3.825916949170517e-06,0.21853852982824168,0.9999923483293324,kertas
214.78057553956836,215.9748201438849,230.17985611510792,222.5,117.69848430156708,0.20183577152490909,0.9975624130162632,17.424658927353722,0.8250346775946192,49.759553181373924,0.9988697904603476,kertas
239.0,240.0,241.66666666666666,0.5,3.414213538169861,0.5390120920947209,0.9999598267267932,0.9835339597112066,0.24999139068600174,0.6556105728183395,0.999982781871088,kertas
239.0,240.0,244.0,0.0,0.0,0.0,0.999984696478579,0.4407439462930979,-3.825916949170515e-06,0.22037113002410183,0.9999923483282184,kertas
239.0,240.0,243.0,0.0,0.0,0.0,0.999984696478579,0.4407439462930979,-3.825916949170515e-06,0.22037113002410183,0.9999923483282184,kertas
238.0285714285714,238.77142857142857,244.2,23.0,26.97056245803833,0.39733579647081785,0.9996518677523696,4.594523198775663,0.6990062710764714,7.631553604861519,0.9998841780591554,kertas
239.0,240.0,245.0,0.0,4.0,0.0,0.9999579120082436,1.1020752831062994,0.1666570999311195,0.6611083313376228,0.999980867080726,kertas
239.0,240.0,245.0,0.0,0.0,0.0,0.999984696478579,0.4407439462930979,-3.825916949170515e-06,0.22037113002410183,0.9999923483282184,kertas
239.52777777777777,238.77777777777777,246.19444444444443,16.0,45.455843687057495,0.09730841548447754,0.9995964020713352,7.306397304344777,0.5347769690238791,7.851774203803743,0.9998513560333017,kertas
240.0,239.0,244.0,0.0,0.0,0.0,0.999984696478579,0.4370787318786118,-3.825916949170517e-06,0.21853852982824168,0.9999923483293324,kertas
239.0,240.0,245.0,0.0,0.0,0.0,0.999984696478579,0.4407439462930979,-3.825916949170515e-06,0.22037113002410183,0.9999923483282184,kertas
238.8,239.4,245.9,3.5,12.242640614509583,0.293445670720228,0.9998813936096648,2.4135500983619664,0.449724026535715,2.1926478488162156,0.999950830596627,kertas
238.57142857142856,238.7142857142857,246.57142857142856,2.5,7.414213538169861,0.5715045502581996,0.9999177395348022,1.6361773679934304,0.4640342729662377,1.5260847792236374,0.9999679534292174,kertas
239.0,239.0,247.0,0.0,2.8284270763397217,0.0,0.9999713079099082,0.7647809678032406,0.12499330555470853,0.4370753874343548,0.9999866114462412,kertas
239.75,238.75,245.0,1.0,4.828427076339722,0.5390120952601716,0.9999483492961528,1.199794553907719,0.3123570784320628,0.8723191585499195,0.9999775217905781,kertas
